IF_adj,diferenca_limite,diferenca_prazo,diferenca_taxa
Banco do Brasil,31763.78,,
Banco do Brasil,-72764.430000000022,,
Banco do Brasil,-36737.239999999991,,
Banco do Brasil,36284.640000000007,,
Banco do Brasil,-185741.23000000004,,
Banco do Brasil,98144.89,,
Banco do Brasil,13788.169999999976,,
Banco do Brasil,-298083.34999999992,,
Banco do Brasil,176999.16,0.0,-0.016569327969918429
Banco do Brasil,67052.549999999988,-18.0,
Banco do Brasil,93774.469999999987,-42.0,
Banco do Brasil,-93253.310000000143,,
Banco do Brasil,-234244.7000000001,,
Banco do Brasil,-147313.19000000009,,
Banco do Brasil,272380.00999999989,,
Banco do Brasil,3771.26,11.0,
Banco do Brasil,-64450.78,-24.0,
Banco do Brasil,-40734.560000000005,,
Banco do Brasil,-14038.68,,
Banco do Brasil,-297568.88000000012,,
Banco do Brasil,-40518.949999999968,,
Banco do Brasil,73168.48000000001,,
Banco do Brasil,48048.23000000001,,
Banco do Brasil,26862.599999999991,,
Banco do Brasil,27007.33,,
Banco do Brasil,-31208.12000000001,,
Banco do Brasil,5751.3299999999508,,
Banco do Brasil,-149527.51,,
Banco do Brasil,21612.159999999989,,
Banco do Brasil,5041.6200000000244,,
Banco do Brasil,-60236.489999999991,,
Banco do Brasil,-293168.04999999993,,
Banco do Brasil,97066.590000000011,6.0,-0.010889937206039299
Banco do Brasil,53387.530000000006,-36.0,
Banco do Brasil,-32379.650000000005,-30.0,
Banco do Brasil,-40788.410000000033,,
Banco do Brasil,121556.89000000004,,
Banco do Brasil,-3296.3999999999942,-18.0,
Banco do Brasil,-153920.07,,
Banco do Brasil,14807.970000000205,,
Banco do Brasil,66821.980000000025,,
Banco do Brasil,4729.6999999999935,,
Banco do Brasil,3785.630000000001,,
Banco do Brasil,347084.0,-30.0,
Banco do Brasil,89212.209999999948,,
Banco do Brasil,-88851.149999999936,,
Banco do Brasil,-11392.789999999979,,
Banco do Brasil,-150457.13,,
Banco do Brasil,-18338.589999999997,,
Banco do Brasil,-308180.99000000011,,
Banco do Brasil,-10132.820000000003,,
Banco do Brasil,-5987.1100000000042,,
Banco do Brasil,398447.25,-30.0,
Banco do Brasil,-5981.41999999998,,
Banco do Brasil,5357.010000000002,,
Banco do Brasil,-4308.6999999999971,,
Banco do Brasil,-50870.59,-42.0,
Banco do Brasil,2143.8200000000434,,
Banco do Brasil,8026.07,,
Banco do Brasil,-65172.590000000011,-36.0,
Banco do Brasil,-45099.850000000013,,
Banco do Brasil,24033.67,,
Banco do Brasil,-150713.06000000006,,
Banco do Brasil,-20960.49,,
Banco do Brasil,35933.070000000014,,
Banco do Brasil,89006.32,6.0,
Banco do Brasil,-171267.09000000003,-162.0,
Banco do Brasil,97031.62,,
Banco do Brasil,240437.05000000002,,
Banco do Brasil,-187797.95999999996,,
Banco do Brasil,131118.17,,
Banco do Brasil,15424.039999999994,,
Banco do Brasil,-57814.37000000001,,
Banco do Brasil,-289915.91000000009,,
Banco do Brasil,-35387.03,,
Banco do Brasil,14755.759999999998,,
Banco do Brasil,-5875.0399999999936,-30.0,
Banco do Brasil,91180.030000000028,-42.0,
Banco do Brasil,121809.18,,
Banco do Brasil,-338848.19999999995,,
Banco do Brasil,-271024.57,,
Banco do Brasil,57859.629999999976,,
Banco do Brasil,142894.06,,
Banco do Brasil,-48810.470000000023,,
Banco do Brasil,-17612.570000000007,,
Banco do Brasil,-449316.36000000004,,
Banco do Brasil,-13143.709999999992,,
Banco do Brasil,10575.669999999991,,
Banco do Brasil,-331.29000000000087,-36.0,
Banco do Brasil,147085.11999999997,-30.0,
Banco do Brasil,-68825.540000000008,,
Banco do Brasil,49696.059999999969,,
Banco do Brasil,-84084.8599999999,,
Banco do Brasil,4516.5200000000041,,
Banco do Brasil,-123430.71999999999,-42.0,
Banco do Brasil,151737.21,,
Banco do Brasil,74050.769999999946,,
Banco do Brasil,-125246.54000000005,,
Banco do Brasil,-49482.05,-30.0,
Banco do Brasil,63667.429999999993,,
Banco do Brasil,37425.06,,
Banco do Brasil,-11148.139999999996,-48.0,
Banco do Brasil,46293.18,-42.0,
Banco do Brasil,-42295.890000000007,,
Banco do Brasil,-13573.169999999998,,
Banco do Brasil,-41926.589999999967,,
Banco do Brasil,-187310.24999999997,,
Banco do Brasil,-49078.459999999992,,
Banco do Brasil,22220.149999999987,,
Banco do Brasil,-108304.19999999995,-18.0,
Banco do Brasil,26487.72,-18.0,
Banco do Brasil,-101996.26999999999,-36.0,
Banco do Brasil,-18236.979999999996,,
Banco do Brasil,-14176.330000000031,,
Banco do Brasil,12747.439999999981,,
Banco do Brasil,-71500.359999999971,,
Banco do Brasil,-64477.07,,
Banco do Brasil,-92665.6500000001,,
Banco do Brasil,-63707.780000000028,,
Banco do Brasil,2940.9399999999951,,
Banco do Brasil,-260490.43000000002,,
Banco do Brasil,2256.30000000001,,
Banco do Brasil,-425388.65,,
